Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"1,800,000",Cairo,Maadi,3,2.0,172,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,1,1.0,65,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,109,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Shubra,3,2.0,250,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,Madinaty,3,2.0,200,No,Apartment,Cash,Ready To Move
"4,450,000Negotiable",,171 SQM,32icon/categories/area171 SQM,,icon/categories/area171,No,Apartment,Cash,Ready To Move
"6,400,000",Cairo,Heliopolis,2,3.0,286,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Nasr City,4,2.0,225,No,Apartment,Cash,Ready To Move
"3,750,000",Cairo,Nasr City,6,4.0,450,No,Apartment,Cash,Ready To Move
"4,100,000Negotiable",,360 SQM,43icon/categories/area360 SQM,,icon/categories/area360,No,Apartment,Cash,Ready To Move
"2,750,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,140,No,Apartment,Cash,Ready To Move
"90,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"2,850,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,82 SQM,21icon/categories/area82 SQM,,icon/categories/area82,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,New Cairo - El Tagamoa,3,1.0,143,No,Apartment,Cash,Ready To Move
"3,100,000Negotiable",,146 SQM,32icon/categories/area146 SQM,,icon/categories/area146,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"3,650,000",Cairo,New Cairo - El Tagamoa,2,2.0,156,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,New Cairo - El Tagamoa,3,2.0,130,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Madinaty,2,1.0,86,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Rehab City,3,3.0,211,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,New Cairo - El Tagamoa,3,2.0,245,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,160 SQM,31icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Shorouk City,3,2.0,200,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,85 SQM,21icon/categories/area85 SQM,,icon/categories/area85,No,Apartment,Cash,Ready To Move
"8,000,000",Cairo,Madinaty,3,3.0,200,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Maadi,1,1.0,135,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,123 SQM,22icon/categories/area123 SQM,,icon/categories/area123,No,Apartment,Cash,Ready To Move
"4,200,000Negotiable",,200 SQM,32icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"3,950,000",Cairo,Madinaty,3,3.0,175,No,Apartment,Cash,Ready To Move
"3,250,000",Cairo,New Cairo - El Tagamoa,3,4.0,250,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Nasr City,2,2.0,125,No,Apartment,Cash,Ready To Move
"1,900,000Negotiable",,200 SQM,33icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"2,900,000",Cairo,New Cairo - El Tagamoa,3,2.0,187,No,Apartment,Cash,Ready To Move
"1,150,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"550,000Negotiable",,65 SQM,21icon/categories/area65 SQM,,icon/categories/area65,No,Apartment,Cash,Ready To Move
"2,850,000Negotiable",,116 SQM,32icon/categories/area116 SQM,,icon/categories/area116,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"3,250,000Negotiable",,420 SQM,44icon/categories/area420 SQM,,icon/categories/area420,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,New Cairo - El Tagamoa,3,2.0,190,No,Apartment,Cash,Ready To Move
